Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Skylar Mays,2,50,LSU,https://basketball.realgm.com/player/Skylar-Mays/Summary/85943,College,31.0,31.0,34.5,16.68,5.45,11.1,0.491,1.61,4.1,0.394,4.16,4.87,0.8540000000000001,0.48,4.55,5.03,3.23,1.77,0.23,2.26,1.68,PG,2020
Justinian Jessup,2,51,Boise State,https://basketball.realgm.com/player/Justinian-Jessup/Summary/86984,College,32.0,32.0,36.0,16.0,5.38,12.62,0.426,3.06,7.72,0.397,2.19,2.28,0.959,0.97,3.47,4.44,2.09,1.41,0.47,1.25,2.16,SF,2020
Kenyon Martin Jr,2,52,IMG Academy (Florida),https://basketball.realgm.com/player/KJ-Martin/Summary/129710,Prep School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,2020
Cassius Winston,2,53,Michigan State,https://basketball.realgm.com/player/Cassius-Winston/Summary/74073,College,30.0,30.0,32.6,18.6,6.17,13.77,0.448,2.43,5.63,0.4320000000000001,3.83,4.5,0.852,0.2,2.3,2.5,5.87,1.2,0.03,3.2,1.97,PG,2020
Cassius Stanley,2,54,Duke,https://basketball.realgm.com/player/Cassius-Stanley/Summary/81701,College,29.0,29.0,27.4,12.55,4.41,9.31,0.474,1.07,2.97,0.36,2.66,3.62,0.733,1.86,3.0,4.86,1.03,0.69,0.72,1.86,2.17,G,2020
Jay Scrubb,2,55,John A. Logan,https://basketball.realgm.com/player/Jayden-Scrubb/Summary/132361,College,29.0,25.0,2.2,21.86,7.52,15.0,0.501,1.41,4.24,0.333,5.41,7.45,0.727,1.45,5.38,6.83,2.69,1.45,0.9,3.07,2.28,SG,2020
Grant Riller,2,56,Charleston,https://basketball.realgm.com/player/Grant-Riller/Summary/85385,College,31.0,31.0,33.5,21.87,7.32,14.68,0.499,1.52,4.19,0.362,5.71,6.9,0.8270000000000001,0.52,4.61,5.13,3.94,1.58,0.32,3.13,2.26,SG,2020
Reggie Perry,2,57,Mississippi State,https://basketball.realgm.com/player/Reggie-Perry/Summary/81695,College,31.0,31.0,31.1,17.35,5.9,11.81,0.5,0.74,2.29,0.324,4.81,6.26,0.768,3.13,6.94,10.06,2.29,0.84,1.16,2.9,3.1,F,2020
Paul Reed,2,58,DePaul,https://basketball.realgm.com/player/Paul-Reed-Jr/Summary/121485,College,29.0,29.0,31.7,15.14,6.28,12.17,0.516,0.55,1.79,0.308,2.03,2.76,0.738,3.28,7.41,10.69,1.62,1.86,2.55,2.28,2.97,F,2020
Jalen Harris,2,59,Nevada,https://basketball.realgm.com/player/Jalen-Harris/Summary/107049,College,30.0,30.0,33.0,21.6,7.43,16.67,0.446,2.23,6.17,0.362,4.5,5.47,0.823,0.73,5.67,6.4,3.93,1.13,0.13,2.4,2.3,SG,2020
